Id;FirstName;LastName;PassportID;DateOfBirth;PhoneNumber;Bonus
8a439456-246c-4ed3-9b1c-ec1979485091;Варвара;Носков;99966;06.07.1979 18:36;(958)951-55-56;5
abd20f34-a60a-4341-bda8-a385f821a7ef;Алевтина;Орлова;86956;16.09.1962 10:24;(930)122-87-17;2
13df17e4-8f6e-4efd-b3fb-84b0793803d2;Анатолий;Королев;42228;31.12.1946 5:20;(984)552-99-57;7
5a306d85-be37-40e0-a4be-971e009cb1fc;Валентина;Цветков;58330;12.09.1944 23:22;(953)401-98-80;7
23c94d28-513d-4d72-a32c-3ec42e83a567;Даниил;Попов;68688;23.02.1964 15:40;(960)572-51-79;9
97ecbd45-de7b-469c-8d08-e32394e4cb5d;Анжелика;Мартынова;79230;11.12.1971 3:16;(966)482-90-24;4
816a89db-aa69-4c2d-8d92-973394c8af11;Анфиса;Муравьева;91841;01.02.1963 6:50;(953)744-78-55;7
9e53fd05-32e9-4945-9e38-024279774a3a;Григорий;Самсонова;56756;21.03.1943 1:27;(926)607-14-17;1
7f0781df-d94d-4e27-a33b-9c0723ddae93;Любовь;Фадеев;62723;06.02.1975 10:45;(901)626-36-39;8
be96ce1b-0c94-4d7a-abfa-3a407841b26d;Юрий;Лихачева;21894;23.06.1949 1:07;(903)242-76-91;2
